Power status;Alerts status;Meters status;Accounting status;In Contract;Connection type;Company;Printer;Printer's address;Manufacturer;Model;Serial;Site;Department;Contact;Asset number;Location;Days without meters;Zona;Provincia;Ciudad;Edificio;Tipo de unidad;Codigo de Red;NOTAS;EXCEPCIONES ALERTAS;Last meter
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0309393;10.56.5.5;Kyocera;ECOSYS M3550idn;LSN7637372;1-PONTEVEDRA-ESTRADA -OT-3668001;;986570057 - RESPONSABLE DE OFICINA 3668001 - AESTRADA.PONTEVEDRA@CORREOS.COM - tecnologia.zona1@correos.com;;CODIGO DE RED:3668001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:A ESTRADA/DIRECCION:AV AMERICA, 8/LOCALIDAD:ESTRADA_(A)/PROVINCIA:PONTEVEDRA;0;1;PONTEVEDRA;ESTRADA_(A);0;OT;3668001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312597;10.56.9.102;Kyocera;ECOSYS M3550idn;LSN7535377;1-ASTURIAS-CUDILLERO-OT-3315001;;985590563 - RESPONSABLE OFICINA 3315001 - CUDILLERO.ASTURIAS@CORREOS.COM - tecnologia.zona1@correos.com;;CODIGO DE RED:3315001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:CUDILLERO/DIRECCION:JUAN ANTONIO BRAVO, 9 /LOCALIDAD:CUDILLERO/PROVINCIA:ASTURIAS;0;1;ASTURIAS;CUDILLERO;0;OT;3315001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0306742;10.56.41.102;Kyocera;ECOSYS M3550idn;LSN7842381;6-MALAGA-FUENGIROLA-OT-2964002;;952474384 - RESPONSABLE DE OFICINA 2964002 - FUENGIROLA.MALAGA@CORREOS.COM;;CODIGO DE RED:2964002/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:GESTOR BANCARIO/LOCALIZACIÓN DESTINO:FUENGIROLA/DIRECCION:PLAZA CHINORROS 5/LOCALIDAD:FUENGIROLA/PROVINCIA:MALAGA;0;6;MALAGA;FUENGIROLA;0;OT;2964002;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0306741;10.56.41.101;Kyocera;ECOSYS M3550idn;LSN7Y49456;6-MALAGA-FUENGIROLA-OT-2964002;;952474384 - RESPONSABLE DE OFICINA 2964002 - FUENGIROLA.MALAGA@CORREOS.COM;;CODIGO DE RED:2964002/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:GESTOR BANCARIO/LOCALIZACIÓN DESTINO:FUENGIROLA/DIRECCION:PLAZA CHINORROS 5/LOCALIDAD:FUENGIROLA/PROVINCIA:MALAGA;0;6;MALAGA;FUENGIROLA;0;OT;2964002;;;06/04/2020
Off;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0306744;10.56.41.108;Kyocera;ECOSYS P3055dn;VLW7967638;6-MALAGA-FUENGIROLA-UR-2920394;;952592599 - RESPONSABLE DE OFICINA 2920394 - URFUENGIROLA.MALAGA@CORREOS.COM;;CODIGO DE RED:2920394/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:DESPACHO/LOCALIZACIÓN DESTINO:UD FUENGIROLA/DIRECCION:PL. DE LOS CHINORROS 5/LOCALIDAD:FUENGIROLA/PROVINCIA:MALAGA;0;6;MALAGA;FUENGIROLA;0;UD;2920394;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0306746;10.56.41.104;Kyocera;ECOSYS P3055dn;VLW7962672;6-MALAGA-FUENGIROLA-OT-2964002;;952474384 - RESPONSABLE DE OFICINA 2964002 - FUENGIROLA.MALAGA@CORREOS.COM;;CODIGO DE RED:2964002/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:GESTOR BANCARIO/LOCALIZACIÓN DESTINO:FUENGIROLA/DIRECCION:PLAZA CHINORROS 5/LOCALIDAD:FUENGIROLA/PROVINCIA:MALAGA;0;6;MALAGA;FUENGIROLA;0;OT;2964002;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0306745;10.56.41.103;Kyocera;ECOSYS M3550idn;LSN7X45840;6-MALAGA-FUENGIROLA-OT-2964002;;952474384 - RESPONSABLE DE OFICINA 2964002 - FUENGIROLA.MALAGA@CORREOS.COM;;CODIGO DE RED:2964002/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:GESTOR BANCARIO/LOCALIZACIÓN DESTINO:FUENGIROLA/DIRECCION:PLAZA CHINORROS 5/LOCALIDAD:FUENGIROLA/PROVINCIA:MALAGA;0;6;MALAGA;FUENGIROLA;0;OT;2964002;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0306743;10.55.46.70;Kyocera;ECOSYS M3550idn;LSN7842391;STOCK ELTEC;;952592599 - RESPONSABLE DE OFICINA 2920394 - URFUENGIROLA.MALAGA@CORREOS.COM;;CODIGO DE RED:2920394/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:DESPACHO/LOCALIZACIÓN DESTINO:UD FUENGIROLA/DIRECCION:PL. DE LOS CHINORROS 5/LOCALIDAD:FUENGIROLA/PROVINCIA:MALAGA;0;6;MALAGA;FUENGIROLA;0;UD;2920394;Cambio Ubicación 902849;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0306916;10.56.53.134;Kyocera;ECOSYS P3055dn;VLW7X69557;6-SEVILLA-DOS HERMANAS-UR-4118094;;955664520 - RESPONSABLE UNIDAD DE REPARTO 4118094 - ur_doshermanas.sevilla@correos.com;;CODIGO DE RED:4118094/PERSONA DE CONTACTO:RESPONSABLE UNIDAD DE REPARTO/DEPARTAMENTO:REPARTO/LOCALIZACIÓN DESTINO:UD DOS HERMANAS/DIRECCION:APOLO S/N (ISAAC PERAL, 74 )/LOCALIDAD:DOS_HERMANAS/PROVINCIA:SEVILLA;0;6;SEVILLA;DOS_HERMANAS;0;UD;4118094;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0306917;10.56.53.135;Kyocera;ECOSYS M3550idn;LSN7X45753;6-SEVILLA-UTRERA-UR-4119094;;955864654 - RESPONSABLE UNIDAD DE REPARTO 4118094 - ur_utrera.sevilla@correos.com;;CODIGO DE RED:4119094/PERSONA DE CONTACTO:RESPONSABLE UNIDAD DE REPARTO/DEPARTAMENTO:REPARTO/LOCALIZACIÓN DESTINO:UD UTRERA/DIRECCION:DOCTOR FLEMING 4/LOCALIDAD:UTRERA/PROVINCIA:SEVILLA;0;6;SEVILLA;UTRERA;0;UD;4119094;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0313000;10.57.13.76;Kyocera;ECOSYS M3550idn;LSN7637756;4-MADRID-ALCALA DE HENARES-SUC-2829094;;918788199 - RESPONSABLE OFICINA 2829094 - suc1alcalahenares.madrid@correos.com;;CODIGO DE RED:2829094/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:RECEPCION/LOCALIZACIÓN DESTINO:ALCALA DE HENARES SUC 1/DIRECCION:CLAVEL, 4/LOCALIDAD:ALCALA_DE_HENARES/PROVINCIA:MADRID;0;4;MADRID;ALCALA_DE_HENARES;0;SU;2829094;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0309988;10.57.35.200;Kyocera;ECOSYS M3550idn;LSN7636846;4-MADRID-MADRID-SUC-2884294;;914454377 - RESPONSABLE DE OFICINA 2884294 - SUC88.MADRID@CORREOS.COM;;CODIGO DE RED:2884294/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:MADRID SUC 88/DIRECCION:MEJIA LEQUERICA, 7/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;SU;2884294;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0309989;10.57.35.201;Kyocera;ECOSYS M3550idn;LSN7636850;4-MADRID-MADRID-SUC-2884294;;914454377 - RESPONSABLE DE OFICINA 2884294 - SUC88.MADRID@CORREOS.COM;;CODIGO DE RED:2884294/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:MADRID SUC 88/DIRECCION:MEJIA LEQUERICA, 7/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;SU;2884294;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0309990;10.57.59.135;Kyocera;ECOSYS M3550idn;LSN7841259;4-MADRID-MADRID-SUC-2882394;;915596128 - RESPONSABLE DE OFICINA 2882394 - SUC73.MADRID@CORREOS.COM;;CODIGO DE RED:2882394/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:MADRID SUC 73/DIRECCION:PRINCESA, 42 -56 (EL CORTE INGLES)/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;CO;2882394;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312966;10.57.72.199;Kyocera;ECOSYS M3550idn;LSN7841393;4-MADRID-MECO-OT-2888006;;918877650 - RESPONSABLE OFICINA 2888006 - MECO.MADRID@CORREOS.COM;;CODIGO DE RED:2888006/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:MECO/DIRECCION:PINAR S/N (C. COMERCIAL BELLVALLE)/LOCALIDAD:MECO/PROVINCIA:MADRID;0;4;MADRID;MECO;0;OT;2888006;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312965;10.57.72.198;Kyocera;ECOSYS M3550idn;LSN7X45686;4-MADRID-MECO-UD-2839894;;918877650 - RESPONSABLE OFICINA 2839894 - URMECO.MADRID@CORREOS.COM;;CODIGO DE RED:2839894/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:UD MECO/DIRECCION:PINAR S/N (C. COMERCIAL BELLVALLE)/LOCALIDAD:MECO/PROVINCIA:MADRID;0;4;MADRID;MECO;0;UD;2839894;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312436;10.57.122.199;Kyocera;ECOSYS P3055dn;VLW7332995;3-BARCELONA-L`HOSPITALET DE LLOBREGAT-UR-899194;;933361851 - RESPONSABLE UNIDAD 0899194 - ur4_hospitaletllobregat.barcelona@correos.com;;CODIGO DE RED:812696/PERSONA DE CONTACTO:Responsable unidad/DEPARTAMENTO:MUEBLE/LOCALIZACIÓN DESTINO:HOSPITALET UNIDAD DE REPARTO 1/DIRECCION:RAMBLA MARINA 82/LOCALIDAD:LHOSPITALET DE LLOBREGAT/PROVINCIA:BARCELONA;0;3;BARCELONA;LHOSPITALET DE LLOBREGAT;0;UR;899194;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312437;10.57.182.77;Kyocera;ECOSYS P3055dn;VLW7332994;3-BARCELONA-HOSPITALET DE LLOBREGAT -UR-812696;;933351919 - RESPONSABLE UNIDAD 0812696 - ur1hospitaletllobregat.barcelona@correos.com;;CODIGO DE RED:812696/PERSONA DE CONTACTO:Responsable unidad/DEPARTAMENTO:MUEBLE/LOCALIZACIÓN DESTINO:HOSPITALET UNIDAD DE REPARTO 1/DIRECCION:RAMBLA MARINA 82/LOCALIDAD:LHOSPITALET DE LLOBREGAT/PROVINCIA:BARCELONA;0;3;BARCELONA;LHOSPITALET DE LLOBREGAT;0;UR;812696;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312435;10.57.122.198;Kyocera;ECOSYS M3550idn;LSN7842354;3-BARCELONA-HOSPITALET DE LLOBREGAT -SUC-827194;;933351919 - RESPONSABLE UNIDAD 0827194 - suc2hospitaletllobregat.barcelona@correos.com;;CODIGO DE RED:827194/PERSONA DE CONTACTO:Responsable unidad/DEPARTAMENTO:ESCRITORIO/LOCALIZACIÓN DESTINO:LHOSPITALET DE LLOBREGAT SUC 2/DIRECCION:RAMBLA MARINA, 82/LOCALIDAD:LHOSPITALET DE LLOBREGAT/PROVINCIA:BARCELONA;0;3;BARCELONA;LHOSPITALET DE LLOBREGAT;0;SU;827194;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312438;10.57.182.76;Kyocera;ECOSYS M3550idn;LSN7638051;3-BARCELONA-HOSPITALET DE LLOBREGAT -UR-812696;;933351919 - RESPONSABLE UNIDAD 0812696 - ur1hospitaletllobregat.barcelona@correos.com;;CODIGO DE RED:812696/PERSONA DE CONTACTO:Responsable unidad/DEPARTAMENTO:MUEBLE/LOCALIZACIÓN DESTINO:HOSPITALET UNIDAD DE REPARTO 1/DIRECCION:RAMBLA MARINA 82/LOCALIDAD:LHOSPITALET DE LLOBREGAT/PROVINCIA:BARCELONA;0;3;BARCELONA;LHOSPITALET DE LLOBREGAT;0;UR;812696;;;06/04/2020
Off;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312434;10.57.122.197;Kyocera;ECOSYS M3550idn;LSN7842351;3-BARCELONA-HOSPITALET DE LLOBREGAT -SUC-827194;;933351919 - RESPONSABLE UNIDAD 0827194 - suc2hospitaletllobregat.barcelona@correos.com;;CODIGO DE RED:827194/PERSONA DE CONTACTO:Responsable unidad/DEPARTAMENTO:ESCRITORIO/LOCALIZACIÓN DESTINO:LHOSPITALET DE LLOBREGAT SUC 2/DIRECCION:RAMBLA MARINA, 82/LOCALIDAD:LHOSPITALET DE LLOBREGAT/PROVINCIA:BARCELONA;0;3;BARCELONA;LHOSPITALET DE LLOBREGAT;0;SU;827194;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0314131;10.57.141.7;Kyocera;ECOSYS M3550idn;LSN7842322;3-BARCELONA-BARCELONA-SUC-827794;;934565684 - RESPONSABLE UNIDAD 0827794 - suc24.barcelona@correos.com;;CODIGO DE RED:827794/PERSONA DE CONTACTO:Responsable unidad/DEPARTAMENTO:/LOCALIZACIÓN DESTINO:BARCELONA SUC 24/DIRECCION:CASTILLEJOS, 276/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;0;3;BARCELONA;BARCELONA;0;SU;827794;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0314065;10.57.182.71;Kyocera;ECOSYS P3055dn;VLW7X69576;3-BARCELONA-HOSPITALET DE LLOBREGAT -USE-812796;;932600912 - RESPONSABLE UNIDAD 0812796 - use01hospitaletllobregat.barcelona@correos.com;;CODIGO DE RED:812796/PERSONA DE CONTACTO:Responsable unidad/DEPARTAMENTO:USE/LOCALIZACIÓN DESTINO:HOSPITALET DEL LLOBREGAT, L USE 1/DIRECCION:CARRER DE PEDRAFORCA, 1 ESQ AVINGUDA TORRENT GORNAL/LOCALIDAD:LHOSPITALET DE LLOBREGAT/PROVINCIA:BARCELONA;0;3;BARCELONA;LHOSPITALET DE LLOBREGAT;0;RU;812796;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0314392;10.57.217.200;Kyocera;ECOSYS M3550idn;LSN7X45835;5-VALENCIA-SUECA-UD-4627094;;961701013 - RESPONSABLE DE OFICINA 4627094 - URSUECA.VALENCIA@CORREOS.COM;;CODIGO DE RED:4627094/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:UD SUECA/DIRECCION:PINTOR CLAROS 1/LOCALIDAD:SUECA/PROVINCIA:VALENCIA;0;5;VALENCIA;SUECA;0;UD;4627094;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0311092;10.57.239.72;Kyocera;ECOSYS M3550idn;LSN7944403;5-VALENCIA-POBLA DE VALLBONA -UD-4637894;;962764806 - RESPONSABLE DE OFICINA 4637894 - URPOBLAVALLBONA.VALENCIA@CORREOS.COM;;CODIGO DE RED:4637894/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:CARTERIA/LOCALIZACIÓN DESTINO:UD LA POBLA DE VALLBONA/DIRECCION:JOSE GARRIDO FARGA 82/LOCALIDAD:LA_POBLA_VALLBONA/PROVINCIA:VALENCIA;0;5;VALENCIA;LA_POBLA_VALLBONA;0;UD;4637894;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0311090;10.57.241.200;Kyocera;ECOSYS M3550idn;LSN7Y49220;5-VALENCIA-VALENCIA-SUC-4621794;;963470368 - RESPONSABLE OFICINA 4621794 - SUC14.VALENCIA@CORREOS.COM;;CODIGO DE RED:4621794/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:MOSTRADOR/LOCALIZACIÓN DESTINO:VALENCIA SUC 14/DIRECCION:AV. MENENDEZ PIDAL, 15  (EL CORTE INGLES)/LOCALIDAD:VALENCIA/PROVINCIA:VALENCIA;0;5;VALENCIA;VALENCIA;0;CO;4621794;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0311091;10.57.213.195;Kyocera;ECOSYS M3550idn;LSN7X45762;5-VALENCIA-VALENCIA-SUC-4614894;;963677028 - RESPONSABLEOFICINA - SUC6.VALENCIA@CORREOS.COM;;CODIGO DE RED:4614894/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:INTERIOR/LOCALIZACIÓN DESTINO:VALENCIA SUC 6/DIRECCION:DOCTOR JUAN JOSE DOMINE 13/LOCALIDAD:VALENCIA/PROVINCIA:VALENCIA;0;5;VALENCIA;VALENCIA;0;SU;4614894;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0309391;10.58.2.101;Kyocera;ECOSYS M3550idn;LSN7X45764;1-PONTEVEDRA-CUNTIS-OT-3667001;;986548185 - RESPONSABLE DE OFICINA 3667001 - CUNTIS.PONTEVEDRA@CORREOS.COM - tecnologia.zona1@correos.com;;CODIGO DE RED:3667001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:CUNTIS/DIRECCION:CIRCUNVALACION DON AURELIO, 45/LOCALIDAD:CUNTIS/PROVINCIA:PONTEVEDRA;0;1;PONTEVEDRA;CUNTIS;0;OT;3667001;;;06/04/2020
Off;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0306428;10.55.182.39;Kyocera;ECOSYS M3550idn;LSN7843070;6-CORDOBA-IZNAJAR-OT-1497001;;957534602 - RESPONSABLE DE OFICINA 1497001 - IZNAJAR.CORDOBA@CORREOS.COM;;CODIGO DE RED:1497001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:VENTANILLA/LOCALIZACIÓN DESTINO:IZNAJAR/DIRECCION:OBISPO ROSALES, 2/LOCALIDAD:IZNAJAR/PROVINCIA:CORDOBA;0;6;CORDOBA;IZNAJAR;0;OT;1497001;;;06/04/2020
Off;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0306427;10.55.182.38;Kyocera;ECOSYS M3550idn;LSN7843107;6-CORDOBA-IZNAJAR-OT-1497001;;957534602 - RESPONSABLE DE OFICINA 1497001 - IZNAJAR.CORDOBA@CORREOS.COM;;CODIGO DE RED:1497001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:VENTANILLA/LOCALIZACIÓN DESTINO:IZNAJAR/DIRECCION:OBISPO ROSALES, 2/LOCALIDAD:IZNAJAR/PROVINCIA:CORDOBA;0;6;CORDOBA;IZNAJAR;0;OT;1497001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0314142;10.55.64.165;Kyocera;ECOSYS M3550idn;LSN7944198;4-CACERES-CORIA-OT-1080001;;927501048 - RESPONSABLE DE OFICINA 1080001 - CORIA.CACERES@CORREOS.COM;;CODIGO DE RED:1080001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:OFICINA/LOCALIZACIÓN DESTINO:CORIA/DIRECCION:AV. VIRGEN ARGEME, 7/LOCALIDAD:CORIA/PROVINCIA:CACERES;0;4;CACERES;CORIA;0;OT;1080001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0314141;10.55.64.166;Kyocera;ECOSYS M3550idn;LSN7944204;4-CACERES-CORIA-OT-1080001;;927501048 - RESPONSABLE DE OFICINA 1080001 - CORIA.CACERES@CORREOS.COM;;CODIGO DE RED:1080001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:OFICINA/LOCALIZACIÓN DESTINO:CORIA/DIRECCION:AV. VIRGEN ARGEME, 7/LOCALIDAD:CORIA/PROVINCIA:CACERES;0;4;CACERES;CORIA;0;OT;1080001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312098;10.57.72.46;Kyocera;ECOSYS P3055dn;VLW7549374;4-MADRID-MADRID-CAM-2812796;;914688161/914688167 - MARCELINO RINCON IGLESIAS 2812796 - secretariacam2.madrid@correos.es;;CODIGO DE RED:2812796/PERSONA DE CONTACTO:Marcelino Rincon Iglesias/DEPARTAMENTO:DEVUELTOS/LOCALIZACIÓN DESTINO:UAM CAM 2 MADRID/DIRECCION:CTRA.VILLAVERDE-VALLECAS KM.3,500,CENTRO TRANSPORTES MADRID/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;UAM;2812796;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0314143;10.55.64.169;Kyocera;ECOSYS M3550idn;LSN7X45679;4-CACERES-CORIA-UD-1017594;;927501708 - RESPONSABLE DE OFICINA 1017594 - URCORIA.CACERES@CORREOS.COM;;CODIGO DE RED:1017594/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:CARTERIA/LOCALIZACIÓN DESTINO:UD CORIA/DIRECCION:AV. VIRGEN ARGEME 7/LOCALIDAD:CORIA/PROVINCIA:CACERES;0;4;CACERES;CORIA;0;UD;1017594;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0309163;10.55.239.134;Kyocera;ECOSYS M3550idn;LSN7637595;7-TENERIFE-SANTA CRUZ DE TENERIFE-SUC-3816494;;922220910 - RESPONSABLE DE OFICINA 3816494 - SUC2.TENERIFE@CORRES.ES;;CODIGO DE RED:3816494/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:SANTA CRUZ DE TENERIFE SUC 2/DIRECCION:PLAZA GARCIA ESCAMEZ 5/LOCALIDAD:SANTA_CRUZ_DE_TENERIFE/PROVINCIA:TENERIFE;0;7;TENERIFE;SANTA_CRUZ_DE_TENERIFE;0;SU;3816494;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0314204;10.55.112.71;Kyocera;ECOSYS M3550idn;LSN7535470;5-CASTELLON-ALMAZORA-OT-1255001;;964560916 - RESPONSABLEOFICINA - ALMAZORA.CASTELLON@CORREOS.COM;;CODIGO DE RED:1255001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:ALMASSORA-ALMAZORA/DIRECCION:SAN LUCAS 2/LOCALIDAD:ALMAZORA/PROVINCIA:CASTELLON;0;5;CASTELLON;ALMAZORA;0;OT;1255001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303313;10.56.26.133;Kyocera;ECOSYS P3055dn;VLW7861134;5-BALEARES-MANACOR-OT-750001;;971551839 - RESPONSABLE OFICINA 0750001 - MANACOR.BALEARES@CORREOS.COM;;CODIGO DE RED:0750001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ADMISION/LOCALIZACIÓN DESTINO:MANACOR/DIRECCION:BAIX D¿ES COS 78-80/LOCALIDAD:MANACOR/PROVINCIA:BALEARES;0;5;BALEARES;MANACOR;0;TA;750001;;;06/04/2020
Off;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303049;10.55.38.229;Kyocera;ECOSYS M3550idn;LSN7841956;4-ALBACETE-TARAZONA DE LA MANCHA-OT-210001;;967480146 - RESPONSABLE DE OFICINA 0210001 - TARAZONAMANCHA.ALBACETE@CORREOS.COM;;CODIGO DE RED:210001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:REGISTRADOS/LOCALIZACIÓN DESTINO:TARAZONA DE LA MANCHA/DIRECCION:ABDON DE ATIENZA 20/LOCALIDAD:TARAZONA_DE_LA_MANCHA/PROVINCIA:ALBACETE;0;4;ALBACETE;TARAZONA_DE_LA_MANCHA;0;OT;210001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303050;10.55.38.230;Kyocera;ECOSYS M3550idn;LSN7841175;4-ALBACETE-TARAZONA DE LA MANCHA-OT-210001;;967480146 - RESPONSABLE DE OFICINA 0210001 - TARAZONAMANCHA.ALBACETE@CORREOS.COM;;CODIGO DE RED:210001/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:REGISTRADOS/LOCALIZACIÓN DESTINO:TARAZONA DE LA MANCHA/DIRECCION:ABDON DE ATIENZA 20/LOCALIDAD:TARAZONA_DE_LA_MANCHA/PROVINCIA:ALBACETE;0;4;ALBACETE;TARAZONA_DE_LA_MANCHA;0;OT;210001;;;06/04/2020
Off;OrangeEvent;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303520;10.55.169.133;Kyocera;ECOSYS P3055dn;VLW7757248;2-ZARAGOZA-ZARAGOZA-SUC-5014894;;976475224 - RESPONSABLE OFICINA 5014894 - SUC5.ZARAGOZA@CORREOS.COM;;CODIGO DE RED:5014894/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:MOSTRADOR/LOCALIZACIÓN DESTINO:ZARAGOZA SUC 5/DIRECCION:JOSE OTO, 20/LOCALIDAD:ZARAGOZA/PROVINCIA:ZARAGOZA;3;2;ZARAGOZA;ZARAGOZA;0;SU;5014894;;;03/04/2020
